Departamento;frios;Población
AMAZONAS;24;80000
ANTIOQUIA;1684;6900000
ARAUCA;178;300000
ATLANTICO;930;2600000
BOGOTA D.C.;1214;8000000
BOLIVAR;699;2300000
BOYACA;106;1300000
CALDAS;144;1000000
CAQUETA;113;430000
CASANARE;74;450000
CAUCA;827;1600000
CESAR;370;1200000
CHOCO;250;550000
CORDOBA;253;1900000
CUNDINAMARCA;410;3300000
GUAINIA;2;60000
GUAVIARE;31;120000
HUILA;388;1200000
LA GUAJIRA;218;1000000
MAGDALENA;559;1400000
META;249;1100000
NARIÑO;358;1600000
NORTE DE SANTANDER;520;1400000
PUTUMAYO;183;370000
QUINDIO;155;560000
RISARALDA;267;990000
SAN ANDRES ISLAS;25;65000
SANTANDER;493;2300000
SUCRE;180;950000
TOLIMA;298;1400000
VALLE DEL CAUCA;2283;4600000
VAUPES;1;45000
VICHADA;11;120000
